"mID","cID","rTitle","rBody","rRating"
4,9,Overlooked among Romero's filmography.,"While this will likely never be considered one of filmmaker George Romero's best, it still represents a commendable effort in one of his rare forays into studio productions (in this case Orion). Scripted by Romero based on a novel by Michael Stewart, it tells the story of Allan Mann (handsome Jason Beghe), a law student who gets into a horrible accident that renders him a quadriplegic. He soon becomes despondent enough to attempt suicide, but soon he receives some temporary salvation in the form of Ella (Boo), a capuchin monkey who is trained to see to his needs. What he doesn't know is that his friend Geoffrey (John Pankow) has been playing mad scientist and injecting the cute lil' thing with human brain cells. Soon the bond between patient and helper becomes so strong that a mental connection is made, and Ella is physically acting out Allan's worst impulses. So what is he going to do about this little homicidal primate? Romero does a good job here at telling a fairly interesting story, although some viewers might be turned off at the lack of sympathetic characters. Most of them are flawed to some degree or another - creepy dean Burbage (Stephen Root), smarmy, incompetent doctor Wiseman (Stanley Tucci), fair-weather girlfriend Linda (Janine Turner), bitchy nurse Maryanne (Christine Forrest, a.k.a. Mrs. Romero) - and even a guy like Geoffrey, who initially just wants to help, has his problems as he's obsessed with his work. At least Allan has an appealing love interest played by Kate McNeil, whom horror fans will recognize as the lead in the slasher ""The House on Sorority Row"". The cast is pretty good overall; Joyce Van Patten plays the stereotypically smothering mother to good effect, and it's a treat to see character actors Root and Tucci near the beginnings of their careers, but the one performer the audience is likely to remember is Boo, who's adorable and very well trained; the animal action is first rate throughout (there's also a rather annoying bird on hand). The evolving relationship between Allan and Ella makes for a compelling hook, and it makes one appreciate the real-life efforts that people put into training service animals, and the animals themselves. The film is light on horror - most of the violence is implied - as Romero tends to go for a more psychological approach, and refrains from going for the gore. Overall, this is a decent flick, worth a look for genre fans who are interested in checking out Romero's non-zombie films. Seven out of 10.",6
4,3,Not your run of the mill horror,"Unexpectedly intense classic, a unique abnormal experience! It's about a man who gets in a severe injury and makes friends with a monkey that even helps him until the monkey gets super vicious/evil. Unlike most George A. Romero films, very refreshing and enjoyable to see how things play out.",7
4,7,Monkey Shines (1988),"George Romero does an excellent job of swapping Zombies for Monkeys. This film may sound ridiculous in the most preposterous way. But then again, we now live in a world of Snakes on a Plane and Burning Bright, so this is a little easier to swallow. In its genre, it is one of the best examples, and I'm not just talking about killer animals. I'm also referring to the stalker/obsessive partner/friend genre. What Romero does brilliantly, is to take a number of characters and the audience on a journey of emotions and self discovery. For example, I started off wanting one of these monkeys. The relationship built up is a genuinely loving one. It's really cute, and this could easily be one of those lifetime inspirational movies. If the monkey wasn't a genetically modified, telepathic, homicidal, psycho monkey. The well trained monkey takes us from tragic victim of experiments, to a loving carer. We get a wonderful cleaning montage, as the monkey helps the friendship expands. The monkey's obsession grows steadily. It starts off with a few temper tantrums and escalates into bananas in the slippers. Soon bananas turn to murder. It's the evolution of all species.None of this would work if it wasn't for a dramatic human connection. Beghe is a law student/athlete that is paralysed. He goes through acceptance, denial, frustration, which is understandable as his girlfriend leaves him for his doctor (a sleazy Tucci), he gets a patronizing nurse, and then his overbearing mother. It's great to see how the characters react to Beghe's quadriplegia, as it enforces Beghe's later anger. Beghe also does a terrific job of facial acting, which is most important as he can't use his body. In a single look he can convey the embarrassment of his mother having to wash him. On the surface, this is a story of a monkey being a bitch to a cripple. But look deep down, REAAAAAAALLY deep, and you'll see a social commentary. For a long time, the monkey is the only one that treats Beghe as an equal. It doesn't throw money at his problem, try and cheer him up, nor can the monkey do everything for him. Romero fills the film with dread, absurdity, and most of all a serious edge that clearly does the film justice. It's easy to mock this film. But the truth is, this could actually happen. Monkeys are creepy and untrustworthy.",9
4,4,Underrated Romero film,"This film has been described as a ""horror film for people who don't like horror films.""  That's an apt description for this underrated psychological/supernatural thriller from Pittsburgh's master horror director, George A. Romero.  To date, this is Romero's only studio film, and he had to make numerous compromises to the finished product.  (The originally intended ending would have been a killer.)  That said, the film still comes off as smart and sharp, with some very good casting. (John Pankow, recognizable from ""Mad About You,"" is really excellent here, and there are nice early performances from Stephen Root, Stanley Tucci, and Janine Turner.)  And check out the amazingly good editing in the last 10 minutes.  Overall, while this is not first-tier Romero, it's a terrific little horror film.",9
11,3,Innovated Hong Kong Action-Comedy!,"I thought that was excellent for the Shaw films I have seen so far.This film is excellent because it looks great. The cinematography was really nice for one of these films, framed with thought. The zooming in this film was not bad and there weren't any reaction capturing close up zooms that these films are littered with.One specific moment that I found questionable was using light for a useless little scare on the audience. Making a character lit bright green. It worked in that characters opening shot, but some later shots specifically looked not real and extra light hit the clothing they were wearing rather than just the face, which works something special.There was a nice story here. A conman's travels and eventual settling in a certain village he has fooled for a long time. He was a good hearted defend the poor and treat the bourgeoisie like arse, but he puts his own self before the poor.The main actor Yue Wong is great. A real special character and performance. His kung fu was excellent, I love that animal style stuff specifically when Jackie Chan in 'Around the World in 80 Days,' one of my childhood films, does the demonstration of the different styles, so I was very impressed and surprised when this was a part of the plot. The kung fu all round, in fact, is incredible, it was probably the better of the chopsocky Shaw films I have seen so far. 'The Brave Archer' had some excellent kung fu but it was not raw, it was supernatural stuff which has a different spellbounding affect on the audience.The action comedy preceding 'Drunken Master' demonstrates action scenes with comedic moments and then brutality which is exactly what Jackie Chan did with his movies, and it is done competitively so here.The opening scene has the opening titles freeze framing a demonstration to the audience of some true spiritual boxing which is just so magnificent. It sets a wonderful scene for a great kung fu movie and a well done story, foreshadowing and pay off. Well done.",9
11,4,A knave come good,"Brian Camp, as usual, reviews this film very well but it is more fun than he makes it sound. Wang (Wong) Yu is very likable and the storyline is strong and interesting. I found the final fight against the robbers more convincing than he did, with Wang's original master urging him on to use the correct counter style from the side lines. He is actually saved in the end by the police and unusually he doesn't fight the main villains including the versatile Fung Hak On (who doesn't really get to show his fighting skills). I also want to mention the humour which apart from the usual unbelievable not recognising the beautiful girl as man joke, is quite good and well handled - particularly in the funny exorcism scene. I really enjoyed this film and though it's not a classic, as Lau Kar Leung's directorial debut it showed real promise.",5
11,7,"THE SPIRITUAL BOXER  the kung fu of the ""gods""","THE SPIRITUAL BOXER (1975) marks the film directing debut of Lau Kar Leung who had directed action scenes for most of Chang Cheh's martial arts epics up to that point. Fans should not expect from this film a kung fu extravaganza along the lines of Lau's later films, CHALLENGE OF THE MASTERS, EXECUTIONERS FROM SHAOLIN, THE 36TH CHAMBER OF SHAOLIN, DIRTY HO, LEGENDARY WEAPONS OF KUNG FU and 8-DIAGRAM POLE FIGHTER. This one differs not only from Lau's other films but from the standard Shaw Bros. martial arts adventure in general. I would almost hesitate to even call it a kung fu film since it is less about martial arts and more about the kind of Chinese folk superstitions that enabled the ill-fated Boxer Rebellion to gain so many followers at the turn of the last century. It's all about a con artist, Siu Chien (Wang Yu) who pretends to be a master of ""spiritual boxing"" and invoke gods in elaborate performance routines that fool townspeople in his travels to shower him with gifts, free food and money. When real martial artists see through his tricks, he is generally forced to flee.The film opens with an elaborate prologue showing off the original Boxers as they demonstrate their powers to the Empress Dowager. Shaw Bros. kung fu stars Chen Kuan Tai and Ti Lung appear in cameos as the Boxers here. The action then shifts to a series of vignettes showing ""Master Siu"" and his varied encounters with merchants, police, wealthy nobles and assorted villagers before he settles in a town suffering from the harsh rule of a local crime boss whose loansharking activities have put a lot of farmers in his debt. Along the way, Siu has picked up a female sidekick, Jin Lian, who dresses as a man and helps him out with his tricks. Eventually, Master Siu becomes so confident of his own powers that he stands up to the loanshark and his gang and teaches the people kung fu to defend themselves. When a pair of wanted outlaws, both kung fu experts in their own right, come to town to help the crime boss, they expose Siu's trickery and put him in a real bind.There are few genuine martial arts thrills in the film. Instead, the fun is in watching Siu interact with ordinary villagers, particularly children and the various farmers and merchants he helps. The film captures numerous details of everyday life in small-town China 100 years ago and appears to have been shot in Taiwan, far from the familiar backlot of the Shaw Bros. Hong Kong studio where Lau shot most of his films. If anything, the elaborate kung fu finale makes for a curiously unsatisfying ending, partly because it is somewhat unconvincing given everything that's come before it.The lead actor is Wang Yu (aka Wong Yu, star of DIRTY HO, YOUNG AVENGER, HE HAS NOTHING BUT KUNG FU and many others and not to be confused with Jimmy Wang Yu, star of ONE-ARMED SWORDSMAN, Chinese BOXER, et al). There are a few familiar Shaw Bros. regulars, but not as many as normal for a high-profile Shaw film. The lead actress, Lin Chen Chi, is spunky, funny and quite beautiful, even when dressed as a man, but she's someone I've never seen before and apparently left the film business after a handful of films. Perennial kung fu villains Fung Hak On and Lee Hoi San, more familiar to viewers of Sammo Hung's films, are on hand to provide formidable opposition to the hero.Lau Kar Leung's later films would focus more on genuine martial arts styles and skills and elaborate training scenes. This one is simply a treatise on how a skilled and clever trickster could exploit villagers' superstitions and profit from it but, in a strategy common even in Hollywood, eventually turn his con artist skills to the public good. A follow-up film by Lau, THE SHADOW BOXING (aka SPIRITUAL BOXER 2, 1979, also reviewed on this site), is not a sequel but deals with a similar theme, although much less effectively.",7
11,9,"Okay, but lacks a certain something","THE SPIRITUAL BOXER is as handsomely mounted as many a Shaw Brothers production, but the plot lacks a certain something. The hero of the piece is Wong Yue, playing a confidence trickster who employs various methods to convince audiences that he's possessed by the spirits of various gods, thus making a living from people's gullibility. After a while, he makes enemies of a gang of thugs while at the same time being asked to investigate a haunted temple.The film is notable for being one of the first examples of the knockabout comedy genre later popularised by Jackie Chan. Wong Yue gets up to all manner of mischief with his tricks, but he lacks the genuine charisma of many of his peers. Still, there's much fun to be had with burning coals, red hot pokers and the like, although my favourite segment is the pure horror scene in a haunted building which is up there with the best of Hong Kong's black magic movies.THE SPIRITUAL BOXER lacks the kind of well-choreographed action that we know so well from the studio's classics, but that's not to say that it's without incident. Scenes of Wong Yue getting possessed by the monkey god and the like are a lot of fun and neatly prefigure later movies like KNOCKABOUT or ENCOUNTERS OF THE SPOOKY KIND. Fung Hark-On has a meaty role as an antagonist and there's an odd opening sequence featuring Ti Lung and Chen Kuan Tai which has nothing to do with the rest of the movie. In the end, this is a watchable movie but it's not as funny as others and doesn't have the great action of others, so it's rather an odd, middling combo.",8
12,5,Who's Really in Control?,"*Please note: This review discusses many key events of the film, including the end.  Do not read if you have not seen the movie!!!Taxi Blues is a film about control.  It isn't, however, as simple as it initially seems.  At the film's conclusion, the audience is left to ask, ""Who's really controlling whom?""At the beginning of this film, Chlykov has complete control of his life. He manages his cab, and his side job of selling alcohol, with an iron fist and the facial expression to match.  He is the master of his domain and no one in his or her right mind would dare to question his authority in any way.The problem is that Lyosha is not in his right mind.  His life is careening out of control and he has one priority.  Alcohol.  From the minute that he requests his first bottle from Chlykov, their lives become irrevocably entangled.  In the beginning, it is very clear where the power lies.  As the film continues, however, it becomes harder and harder to tell who is controlling whom.  Although he does not seem to realize it, Chlykov's life begins to revolve around the very man he seeks to reform.  As a result, aspects of his own life start to slip from his control.For example, when Lyosha begins to seduce his girlfriend, Chlykov, in a desperate attempt to prove his authority, smashes Lyosha's saxophone and then engages Christina in an aggressive sexual act against her will.  For those few minutes, Chlykov is free of his self-induced commitment to Lyosha. However, his freedom is short-lived.  A few minutes later the phone rings and he is soon back at the jail to meet Lyosha, once again putting his own life on hold.By the end of the film, the roles have reversed.  Lyosha gets his life together, at least temporarily, and is on top of the world as a beloved, world-renowned musician.  Chlykov's life, however, is reminiscent of Lyosha's at the beginning of the film.  He severs connections with his girlfriend, his friends and his once structured existence.  It is no coincidence that in the last scenes of the film, Chlykov is in a speeding car, spinning wildly out of control.",7
12,4,"The film about two men, about soviet union - they need energy, about new oxygen to survive...","This film is more deeper thats you can imagine. This film is about 2 Russian souls, two tragical souls in the 1980xx( at the end of soviet union). This men are the parallel to the soviet - both are tragical, needs new oxygen, new energy to survive! I think that only Russians can understand that cinema, its very hard to see this film, if you are not living in Russia. Unreal playing by actors, amazing Vladimir Cherkasin soundtracksIf you like this film, you can see all the films with Petr Mamonov or films by Pavel Lungin.I think that this film is more than 10/10",9
