"cID","sChurn","sAge","sIncome","sGender","sEmployment","sRelationship","sSexuality","sGenre","sSelection","sPricing","sSuggestions","sUsability","sRecommend"
"1",NULL,"18-24","50,000-74,999","Other","Full",NULL,"Other","Biography","6","1","9","0","2"
"2",NULL,"25-34","50,000-74,999","Other","Part",NULL,"Gay/Lesbian","Crime","1","6","4","2","0"
"3",NULL,"35-44","15,000-34,999","Male","Part","Seperated",NULL,"Action","3","6","1","8","2"
"4",NULL,"55-64","15,000-34,999","Male","Full","Seperated","Bisexual","Action","2","9","8","5","2"
"5",NULL,"35-44","50,000-74,999","Feamle","None","Seperated","Heterosexual","Crime","7","5","10","5","3"
"6",NULL,"18-24","15,000>",NULL,"Full","Seperated","Heterosexual","Biography","7","0","7","10","3"
"7",NULL,"25-34","74,999-99,999","Feamle","Student","Single","Gay/Lesbian","Action","8","5","4","0","9"
"8",NULL,"18-24","15,000-34,999","Feamle","Full","Married","Bisexual","Animation","3","7","7","4","5"
"9",NULL,"25-34","74,999-99,999","Feamle","Self","Seperated",NULL,"Biography","5","9","5","4","10"
"10",NULL,"35-44","15,000>",NULL,"Student","Partnered","Other","Animation","0","1","0","3","9"
"11",NULL,"55-64","15,000-34,999","Feamle","None","Seperated","Bisexual","Crime","1","9","10","6","7"
"12",NULL,"25-34","74,999-99,999",NULL,"Self","Partnered","Bisexual","Adventure","8","3","5","1","6"
"13",NULL,"55-64","15,000>","Feamle","Part","Partnered","Other","Animation","4","10","0","2","5"
"14",NULL,"45-54","74,999-99,999","Other","Student","Seperated","Heterosexual","Action","10","0","7","2","8"
"15",NULL,"25-34","50,000-74,999","Male","Full","Married","Heterosexual","Biography","8","3","9","0","9"
"16",NULL,"55-64","15,000-34,999",NULL,"Full","Single","Other","Biography","9","9","4","5","4"
"17",NULL,"35-44","35,000-49,999","Non-binary","None",NULL,"Gay/Lesbian","Action","0","1","6","1","0"
"18",NULL,"45-54","35,000-49,999","Feamle","Student","Seperated",NULL,"Action","10","0","4","5","9"
"19",NULL,"55-64","35,000-49,999","Non-binary","None",NULL,"Gay/Lesbian","Animation","0","0","1","10","3"
"20",NULL,"18-24","35,000-49,999","Other","Student","Partnered","Heterosexual","Biography","8","6","5","5","10"
"21",NULL,"55-64","15,000>","Non-binary","Full","Married","Bisexual","Action","10","3","8","6","8"
"22",NULL,"35-44","15,000-34,999","Feamle","Part","Single",NULL,"Crime","9","3","10","8","3"
"23",NULL,"35-44","15,000-34,999","Feamle","Self","Seperated","Bisexual","Adventure","4","9","0","7","2"
"24",NULL,"25-34","15,000>","Other","Full","Single",NULL,"Adventure","10","10","7","8","10"
"25",NULL,"55-64","15,000>","Male","None",NULL,"Bisexual","Animation","7","6","9","10","0"
"26",NULL,"25-34","15,000>","Feamle","Full","Seperated","Bisexual","Animation","1","7","1","5","4"
"27",NULL,"18-24","15,000>","Other","Self","Seperated",NULL,"Action","5","4","3","7","9"
"28",NULL,"25-34","35,000-49,999","Male","Student","Partnered","Other","Animation","7","7","10","4","10"
"29",NULL,"25-34","74,999-99,999","Feamle","Part","Married","Other","Action","7","6","8","4","0"
"30",NULL,"25-34","50,000-74,999","Male","Self","Seperated","Gay/Lesbian","Crime","7","7","10","7","2"
"31",NULL,"35-44","50,000-74,999","Feamle","Student",NULL,NULL,"Adventure","5","8","2","10","4"
"32",NULL,"45-54","35,000-49,999","Other","Part",NULL,"Heterosexual","Biography","3","1","2","3","0"
"33",NULL,"35-44","50,000-74,999","Male","None",NULL,"Bisexual","Adventure","6","10","10","2","7"
"34",NULL,"35-44","50,000-74,999","Non-binary","Student","Married",NULL,"Animation","5","5","3","8","8"
"35",NULL,"18-24","50,000-74,999","Non-binary","None",NULL,NULL,"Action","1","1","0","10","3"
"36",NULL,"25-34","74,999-99,999",NULL,"None","Partnered","Bisexual","Crime","2","10","3","1","1"
"37",NULL,"35-44","15,000-34,999","Non-binary","Self","Single","Other","Biography","8","5","0","7","7"
"38",NULL,"18-24","15,000-34,999","Male","None","Partnered","Bisexual","Crime","4","7","4","1","7"
"39",NULL,"25-34","15,000-34,999","Male","None","Partnered","Bisexual","Action","5","0","9","10","1"
"40",NULL,"18-24","15,000>",NULL,"Full","Single",NULL,"Adventure","8","10","1","4","6"
"41",NULL,"45-54","50,000-74,999","Other","Part","Seperated",NULL,"Animation","4","9","5","5","8"
"42",NULL,"55-64","15,000-34,999","Feamle","None","Single",NULL,"Animation","7","0","8","5","10"
"43",NULL,"18-24","74,999-99,999","Male","Full","Single","Heterosexual","Biography","0","2","0","1","7"
"44",NULL,"55-64","15,000-34,999","Feamle","Part","Single","Heterosexual","Crime","0","5","2","4","5"
"45",NULL,"35-44","15,000-34,999","Feamle","Full",NULL,"Gay/Lesbian","Biography","0","4","4","3","0"
"46",NULL,"45-54","15,000-34,999","Male","Full","Seperated","Heterosexual","Adventure","4","5","0","4","8"
"47",NULL,"45-54","15,000-34,999","Other","Self","Married","Heterosexual","Biography","3","8","8","10","4"
"48",NULL,"18-24","15,000-34,999","Non-binary","Self","Seperated","Other","Crime","4","2","8","3","8"
"49",NULL,"45-54","35,000-49,999","Male","Self","Married","Heterosexual","Crime","0","6","7","7","7"
"50",NULL,"18-24","50,000-74,999","Other","Student","Married","Bisexual","Animation","4","6","0","2","10"
"51",NULL,"45-54","74,999-99,999","Other","None",NULL,"Other","Adventure","2","3","9","1","8"
"52",NULL,"35-44","35,000-49,999","Feamle","Full","Married","Gay/Lesbian","Crime","4","6","7","5","1"
"53",NULL,"18-24","15,000-34,999","Feamle","Full",NULL,"Gay/Lesbian","Biography","4","10","7","3","9"
"54",NULL,"45-54","35,000-49,999","Male","Part","Seperated","Bisexual","Adventure","5","1","9","10","6"
"55",NULL,"18-24","15,000-34,999","Non-binary","Full","Single",NULL,"Action","7","1","8","5","3"
"56",NULL,"25-34","15,000-34,999","Feamle","Full",NULL,"Heterosexual","Action","2","4","6","1","2"
"57",NULL,"18-24","74,999-99,999","Other","Student","Partnered","Other","Biography","1","9","8","9","8"
"58",NULL,"25-34","15,000-34,999",NULL,"Part","Single","Gay/Lesbian","Action","8","8","3","8","4"
"59",NULL,"45-54","50,000-74,999","Non-binary","Full","Single","Gay/Lesbian","Biography","4","3","0","7","3"
"60",NULL,"25-34","15,000-34,999","Non-binary","Part","Single","Other","Animation","3","3","10","9","9"
"61",NULL,"55-64","50,000-74,999","Other","Full","Single",NULL,"Action","7","9","8","9","10"
"62",NULL,"18-24","74,999-99,999","Non-binary","Student","Seperated",NULL,"Action","2","2","6","10","1"
"63",NULL,"55-64","35,000-49,999","Male","Student","Married","Bisexual","Adventure","3","10","8","2","1"
"64",NULL,"18-24","74,999-99,999","Non-binary","None","Seperated","Bisexual","Animation","8","5","6","2","1"
"65",NULL,"35-44","35,000-49,999","Feamle","Self","Seperated","Bisexual","Adventure","6","7","3","5","7"
"66",NULL,"18-24","35,000-49,999","Feamle","Student",NULL,"Other","Action","3","7","6","8","0"
"67",NULL,"18-24","15,000-34,999",NULL,"Student","Married","Heterosexual","Action","1","10","3","5","3"
"68",NULL,"18-24","50,000-74,999","Non-binary","Part",NULL,"Heterosexual","Biography","0","6","9","3","7"
"69",NULL,"55-64","35,000-49,999",NULL,"Self","Married","Heterosexual","Action","10","4","10","3","7"
"70",NULL,"25-34","50,000-74,999","Non-binary","None","Married",NULL,"Animation","2","6","10","1","5"
"71",NULL,"35-44","35,000-49,999","Non-binary","Self","Married","Other","Crime","3","8","6","7","10"
"72",NULL,"55-64","74,999-99,999","Other","Student","Single","Gay/Lesbian","Adventure","3","0","10","3","7"
"73",NULL,"25-34","50,000-74,999","Non-binary","Student","Single","Heterosexual","Animation","1","10","6","3","2"
"74",NULL,"55-64","35,000-49,999","Feamle","None","Seperated",NULL,"Action","10","10","3","0","4"
