"tID","mID","cID","tDate","tTime"
"1","484","1","2020-02-21","18:59:00"
"2","104","1","2020-06-28","21:16:00"
"3","202","1","2020-07-07","12:21:00"
"4","521","1","2020-07-27","01:07:00"
"5","121","1","2020-08-15","10:21:00"
"6","305","1","2020-08-24","15:13:00"
"7","542","2","2020-01-26","01:32:00"
"8","582","2","2020-04-10","12:12:00"
"9","549","2","2020-08-03","03:50:00"
"10","37","2","2020-11-14","07:08:00"
"11","254","3","2020-03-14","03:19:00"
"12","567","3","2020-03-27","04:39:00"
"13","367","3","2020-03-27","20:22:00"
"14","312","3","2020-12-22","14:56:00"
"15","583","4","2020-05-03","21:17:00"
"16","176","4","2020-06-07","00:13:00"
"17","318","4","2020-07-10","07:55:00"
"18","420","4","2020-08-06","20:05:00"
"19","504","4","2020-10-15","11:57:00"
"20","390","5","2020-01-06","08:29:00"
"21","50","5","2020-01-16","09:41:00"
"22","339","5","2020-04-15","17:14:00"
"23","125","5","2020-04-17","06:07:00"
"24","12","5","2020-06-06","02:13:00"
"25","324","5","2020-12-03","13:13:00"
"26","321","6","2020-06-10","17:51:00"
"27","105","6","2020-07-25","21:24:00"
"28","273","6","2020-11-19","10:32:00"
"29","568","7","2020-01-12","12:27:00"
"30","192","7","2020-06-13","12:13:00"
"31","455","7","2020-07-23","18:31:00"
"32","346","8","2020-01-02","18:42:00"
"33","407","8","2020-01-08","00:44:00"
"34","273","8","2020-04-22","09:01:00"
"35","38","8","2020-07-12","09:58:00"
"36","343","8","2020-09-21","11:54:00"
"37","455","8","2020-12-20","03:32:00"
"38","512","9","2020-04-18","18:33:00"
"39","97","9","2020-08-09","23:43:00"
"40","314","9","2020-09-15","03:02:00"
"41","406","9","2020-10-24","05:46:00"
"42","323","9","2020-11-05","11:52:00"
"43","544","9","2020-11-16","21:50:00"
"44","452","9","2020-12-05","22:27:00"
"45","288","10","2020-01-31","00:01:00"
"46","71","10","2020-02-10","23:11:00"
"47","199","10","2020-04-10","10:21:00"
"48","321","10","2020-05-08","23:29:00"
"49","322","10","2020-10-11","13:10:00"
"50","531","10","2020-10-26","06:10:00"
"51","331","10","2020-11-19","09:14:00"
"52","310","11","2020-06-02","01:05:00"
"53","42","11","2020-06-23","03:04:00"
"54","310","11","2020-07-18","16:21:00"
"55","317","11","2020-10-07","10:08:00"
"56","589","11","2020-12-29","04:03:00"
"57","145","12","2020-02-16","02:36:00"
"58","290","12","2020-04-23","18:16:00"
"59","325","12","2020-08-09","06:36:00"
"60","514","12","2020-09-14","09:39:00"
"61","297","13","2020-01-05","14:27:00"
"62","79","13","2020-02-24","17:28:00"
"63","354","13","2020-05-05","18:27:00"
"64","41","13","2020-06-28","09:10:00"
"65","197","13","2020-08-29","13:14:00"
"66","38","13","2020-09-06","17:56:00"
"67","142","13","2020-10-07","22:12:00"
"68","507","14","2020-05-11","01:02:00"
"69","130","14","2020-10-23","01:34:00"
"70","23","14","2020-10-30","19:42:00"
"71","429","15","2020-06-10","01:16:00"
"72","44","15","2020-10-04","00:13:00"
"73","340","15","2020-11-02","03:51:00"
"74","351","16","2020-01-23","07:35:00"
"75","333","16","2020-01-31","00:52:00"
"76","129","16","2020-05-25","08:36:00"
"77","226","16","2020-06-27","20:07:00"
"78","390","16","2020-07-29","21:28:00"
"79","25","16","2020-08-14","02:48:00"
"80","39","16","2020-08-28","19:36:00"
"81","129","16","2020-11-02","21:24:00"
"82","299","16","2020-12-16","03:52:00"
"83","240","17","2020-01-02","08:52:00"
"84","266","17","2020-02-28","07:43:00"
"85","379","17","2020-05-21","13:14:00"
"86","109","17","2020-07-05","22:19:00"
"87","515","17","2020-07-23","04:17:00"
"88","103","17","2020-10-05","17:26:00"
"89","460","17","2020-10-20","06:13:00"
"90","228","17","2020-11-22","10:59:00"
"91","355","17","2020-11-23","12:24:00"
"92","329","18","2020-01-11","13:19:00"
"93","169","18","2020-02-25","08:24:00"
"94","261","18","2020-04-10","21:40:00"
"95","177","18","2020-05-10","23:51:00"
"96","273","18","2020-07-24","08:54:00"
"97","321","18","2020-11-24","07:28:00"
"98","142","18","2020-12-03","12:54:00"
"99","79","19","2020-09-09","14:32:00"
"100","353","20","2020-01-09","21:38:00"
"101","53","20","2020-02-10","16:08:00"
"102","227","20","2020-03-06","15:21:00"
"103","75","20","2020-03-23","05:11:00"
"104","312","20","2020-08-13","02:10:00"
"105","5","20","2020-09-21","04:33:00"
"106","575","20","2020-12-29","01:40:00"
"107","202","21","2020-03-06","00:24:00"
"108","26","21","2020-05-17","21:41:00"
"109","443","21","2020-05-30","06:39:00"
"110","211","21","2020-06-28","02:26:00"
"111","281","21","2020-09-14","08:33:00"
"112","94","21","2020-12-26","09:02:00"
"113","496","22","2020-02-03","16:01:00"
"114","498","22","2020-02-05","22:15:00"
"115","192","22","2020-07-17","12:41:00"
"116","81","22","2020-12-13","11:37:00"
"117","136","23","2020-04-12","12:32:00"
"118","200","23","2020-11-06","10:33:00"
"119","393","24","2020-01-14","00:37:00"
"120","516","24","2020-03-27","02:13:00"
"121","540","24","2020-09-02","15:21:00"
"122","53","25","2020-01-16","07:36:00"
"123","149","25","2020-02-11","21:59:00"
"124","113","25","2020-03-30","12:49:00"
"125","404","25","2020-04-22","14:15:00"
"126","227","25","2020-07-11","05:47:00"
"127","415","25","2020-08-17","04:09:00"
"128","75","25","2020-08-25","18:14:00"
"129","568","25","2020-11-30","21:16:00"
"130","299","26","2020-01-07","04:52:00"
"131","69","26","2020-05-26","22:52:00"
"132","157","26","2020-09-12","02:03:00"
"133","323","26","2020-10-03","19:21:00"
"134","328","26","2020-10-16","13:12:00"
"135","26","27","2020-08-22","05:26:00"
"136","99","27","2020-09-24","03:11:00"
"137","211","27","2020-09-29","02:19:00"
"138","154","28","2020-09-03","05:01:00"
"139","243","28","2020-09-28","17:25:00"
"140","308","28","2020-11-30","16:35:00"
"141","218","29","2020-01-08","20:44:00"
"142","329","29","2020-07-14","08:08:00"
"143","93","29","2020-08-22","03:45:00"
"144","390","29","2020-12-26","01:22:00"
"145","144","30","2020-02-17","19:43:00"
"146","196","30","2020-02-19","01:10:00"
"147","460","30","2020-03-28","13:09:00"
"148","396","30","2020-04-03","21:43:00"
"149","437","30","2020-04-05","22:54:00"
"150","567","30","2020-04-13","14:03:00"
"151","569","30","2020-08-19","15:06:00"
"152","321","30","2020-11-06","12:03:00"
"153","55","30","2020-11-22","11:39:00"
"154","359","31","2020-07-04","06:53:00"
"155","47","31","2020-08-29","03:54:00"
"156","101","31","2020-11-13","20:05:00"
"157","62","31","2020-12-15","07:11:00"
"158","311","31","2020-12-18","08:38:00"
"159","503","32","2020-01-29","14:16:00"
"160","433","32","2020-02-27","07:28:00"
"161","318","32","2020-07-24","04:21:00"
"162","185","32","2020-09-29","18:06:00"
"163","339","32","2020-12-18","21:49:00"
"164","91","33","2020-01-05","15:01:00"
"165","85","33","2020-12-13","18:33:00"
"166","92","34","2020-01-02","11:03:00"
"167","170","34","2020-01-27","12:03:00"
"168","599","34","2020-05-05","03:13:00"
"169","322","34","2020-06-09","08:51:00"
"170","123","35","2020-01-09","07:02:00"
"171","396","35","2020-05-04","03:15:00"
"172","141","35","2020-07-22","04:38:00"
"173","312","35","2020-08-06","13:14:00"
"174","179","35","2020-10-11","20:17:00"
"175","267","35","2020-11-01","19:01:00"
"176","303","36","2020-06-27","22:43:00"
"177","141","36","2020-12-12","08:55:00"
"178","352","37","2020-05-19","12:42:00"
"179","449","37","2020-08-28","04:06:00"
"180","172","37","2020-12-01","04:14:00"
"181","441","38","2020-05-31","02:33:00"
"182","252","38","2020-06-14","18:54:00"
"183","16","38","2020-06-25","22:06:00"
"184","3","39","2020-04-09","08:02:00"
"185","440","39","2020-05-15","04:37:00"
"186","458","39","2020-07-04","02:41:00"
"187","331","39","2020-08-08","01:03:00"
"188","320","39","2020-09-21","06:06:00"
"189","300","39","2020-11-12","03:05:00"
"190","504","40","2020-01-01","22:31:00"
"191","493","40","2020-03-03","02:08:00"
"192","383","40","2020-05-08","09:59:00"
