cID,sAge,sIncome,sGender,sEmployment,sRelationship,sChurn
1,18-24,35000-49999,Other,None,Seperated,1
2,25-34,50000-74999,Feamle,Full,,0
3,55-64,35000-49999,Non-binary,Self,Seperated,1
4,25-34,15000-34999,Other,Student,,1
5,55-64,,Male,None,Married,1
6,35-44,0-15000,Non-binary,Student,Married,0
7,65-100,15000-34999,Male,Part,Married,1
8,,74999-99999,,Part,,1
9,55-64,0-15000,Feamle,,Partnered,1
10,18-24,100000-200000,Male,Part,Single,0
11,55-64,,,,Partnered,0
12,,,Non-binary,None,Seperated,0
13,55-64,,Male,Part,Single,0
14,45-54,74999-99999,Male,,Single,0
15,45-54,0-15000,Other,None,Single,1
16,25-34,35000-49999,,Full,Married,0
17,65-100,35000-49999,,None,Partnered,1
18,18-24,15000-34999,,Self,Married,1
19,65-100,100000-200000,Other,,Single,0
20,65-100,74999-99999,Male,Self,,1
21,55-64,,Male,Part,Single,0
22,25-34,0-15000,Non-binary,None,Partnered,0
23,45-54,74999-99999,,Full,,0
24,55-64,100000-200000,Male,Full,Seperated,0
25,55-64,100000-200000,Other,,Seperated,0
26,55-64,50000-74999,,,Married,0
27,25-34,74999-99999,Other,Full,Married,0
28,18-24,35000-49999,Feamle,Student,Married,1
29,25-34,0-15000,Non-binary,Self,Seperated,0
30,18-24,0-15000,,Student,Married,0
31,25-34,15000-34999,,,Single,1
32,45-54,74999-99999,Other,None,Single,1
33,18-24,15000-34999,Male,Full,Seperated,1
34,18-24,100000-200000,,Student,Partnered,0
35,25-34,15000-34999,,Full,,0
36,18-24,100000-200000,Feamle,Full,Married,1
37,,,Feamle,,Single,1
38,55-64,74999-99999,Non-binary,None,Single,1
39,55-64,74999-99999,Feamle,None,,0
40,25-34,15000-34999,Other,None,Single,0
41,,15000-34999,Feamle,Full,Married,1
42,18-24,0-15000,Male,Student,Seperated,1
43,18-24,15000-34999,Non-binary,Self,Married,0
44,45-54,35000-49999,,Self,Partnered,1
45,25-34,35000-49999,,None,Single,1
46,35-44,50000-74999,Feamle,None,Single,1
47,65-100,,Feamle,None,Partnered,0
48,55-64,35000-49999,Other,,Seperated,1
49,25-34,50000-74999,Other,Full,Partnered,0
50,55-64,35000-49999,Feamle,,,0
51,25-34,,Male,Full,Seperated,0
52,,74999-99999,Male,,Married,0
53,,15000-34999,,,Seperated,1
54,45-54,74999-99999,Feamle,Part,Seperated,0
55,25-34,0-15000,Male,Part,Seperated,0
56,45-54,15000-34999,Feamle,Self,Single,0
57,18-24,35000-49999,Other,Part,Married,1
58,35-44,,Feamle,Student,,1
59,45-54,50000-74999,Feamle,None,Married,0
60,18-24,100000-200000,Male,,Partnered,0
61,25-34,,Non-binary,Full,Seperated,0
62,65-100,74999-99999,Feamle,None,Married,1
63,65-100,74999-99999,Feamle,Part,Married,0
64,35-44,15000-34999,Non-binary,Student,Partnered,1
65,45-54,15000-34999,Non-binary,Full,Partnered,0
66,35-44,35000-49999,Other,Part,Single,1
67,45-54,35000-49999,Feamle,Self,Partnered,1
68,45-54,35000-49999,Non-binary,Self,Partnered,0
69,55-64,15000-34999,Feamle,Self,Partnered,0
70,55-64,0-15000,Other,Full,Single,1
71,35-44,35000-49999,Other,,Single,0
72,18-24,15000-34999,Male,Student,Single,0
73,55-64,100000-200000,Feamle,,,1
74,18-24,,,,Partnered,0
75,35-44,15000-34999,Feamle,Student,Single,0
76,25-34,100000-200000,,Full,Partnered,1
77,35-44,0-15000,Feamle,None,Married,0
78,,100000-200000,,Self,Single,0
79,45-54,15000-34999,Male,Full,Seperated,0
80,65-100,,Male,Full,Married,0
81,55-64,100000-200000,Non-binary,None,Married,1
82,55-64,0-15000,Non-binary,Part,Married,1
83,45-54,50000-74999,Male,Part,Partnered,1
84,25-34,,Male,Part,Partnered,0
85,65-100,100000-200000,Other,,Seperated,0
86,35-44,50000-74999,Other,None,Single,1
87,25-34,,Feamle,Student,Single,1
88,18-24,0-15000,Non-binary,None,Single,0
89,18-24,,Other,Self,Partnered,0
90,35-44,35000-49999,Other,,Partnered,1
91,55-64,,Other,,Seperated,0
92,35-44,,,None,Single,0
93,35-44,50000-74999,Male,Full,Single,1
94,35-44,74999-99999,Male,None,Seperated,0
