mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice,mPoster
1,Playboy: Strip Search Backstage,NULL,"Documentary,Music",UNRATED,2000,56,English,USA,Gregg Parker,NULL,"Cheyenne Silver,Amanda Love,Julia Ann,Devon",6.40,NULL
2,How to See a Black Hole: The Universe's Greatest Mystery,"A BBC documentary about one of the greatest discoveries of humans by a team of top scientific minds from different parts of the world known as the ""Event Horizon Telescope project team"" ...",Documentary,NULL,2019,NULL,English,UK,"Duncan Bulling,Henry Fraser",NULL,Peter Capaldi,8.20,https://m.media-amazon.com/images/M/MV5BYTBkZmUwNzktY2YyMy00M2ZjLThlOGUtYjRmOTk3NWFkMDIzXkEyXkFqcGdeQXVyMTg2MjEyMzA@._V1_SX300.jpg
3,Civil Brand,"Frances is in the pen for killing her abusive husband. The abused the prisoners rise up against the ""new plantation"" that harvest human labor for profit. Nothing will stop Frances and her fellow inmates in this brutal battle for justice.","Drama,Thriller,Crime",R,2002,95,English,USA,Neema Barnette,Preston A. Whitmore II t,"LisaRaye McCoy,N'Bushe Wright,Monica Calhoun,Clifton Powell",5.20,https://m.media-amazon.com/images/M/MV5BMTkyNDI4NTgyM15BMl5BanBnXkFtZTcwMTcwNDAwMQ@@._V1_SX300.jpg
4,Monkey Shines: An Experiment In Fear,"A quadriplegic man has a trained monkey help him with his paralysis, until the little monkey begins to develop feelings, and rage, against its new master.","Drama,Horror,Sci-Fi,Thriller",R,1988,113,English,USA,George A. Romero,Michael Stewart t,"Jason Beghe,John Pankow,Kate McNeil,Joyce Van Patten",6.20,
5,Jack the Giant Slayer,"The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.","Adventure,Comedy,Family,Fantasy",PG-13,2013,114,English,"UK, USA",Bryan Singer,Darren Lemke t,"Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Stanley Tucci",6.20,https://m.media-amazon.com/images/M/MV5BMjE1NDMxMjI0OV5BMl5BanBnXkFtZTcwMjQyMDExOQ@@._V1_SX300.jpg
6,Stander,"The life and career of Andre Stander, a South African police officer turned bank robber.","Action,Biography,Crime,Drama",R,2003,111,"English, Afrikaans, Zulu","Canada, Germany, South Africa, UK",Bronwen Hughes,Bima Stagg,"Thomas Jane,Dexter Fletcher,David O'Hara,Deborah Kara Unger",7.10,https://m.media-amazon.com/images/M/MV5BMTU4MTgyMDcwMV5BMl5BanBnXkFtZTcwNjA0NTYyMQ@@._V1_SX300.jpg
7,Nicholas and Alexandra,"Tsar Nicholas II, the inept last monarch of Russia, insensitive to the needs of his people, is overthrown and exiled to Siberia with his family.","Biography,Drama,History,War",GP,1971,183,"English, French, German, Russian",UK,Franklin J. Schaffner,Robert K. Massie t,"Michael Jayston,Janet Suzman,Roderic Noble,Ania Marson",7.20,https://m.media-amazon.com/images/M/MV5BMjNiZmU0MDYtMmQwNi00OWY3LTg4MWItYTIyOTFkYTJiMWFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
8,Phil Spector: He's a Rebel,"Biography of famed record producer Phil Spector, noted for discovering and producing the records of such rock icons as The Righteous Brothers, The Ronettes and The Crystals, and who worked ...","Documentary,Biography,Music",NULL,1982,NULL,English,USA,NULL,NULL,"Jeff Barry,Rodney Bingenheimer,Robert 'Bumps' Blackwell,The Blossoms",7.00,NULL
9,American Grindhouse,"A documentary about the history of exploitation movies, from the silent movie era to the 1970s.","Documentary,Action,Comedy,History,Horror",Not Rated,2010,80,English,USA,Elijah Drenner,"Elijah Drenner,Calum Waddell","Robert Forster,Eric Schaefer,Eddie Muller,John Landis",7.10,https://m.media-amazon.com/images/M/MV5BZGIzMTNlMjItNGY2My00NzBhLWI2ZGEtODAzNmIxYzc1OGNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
10,Sailor of the King,"In 1940, Canadian sailor Andrew Brown is prisoner on a battle damaged German raider and he plans to delay the raider's at-sea repairs until a British naval task-force can destroy it.","Action,Drama,Romance,War",Approved,1953,83,"English, German",UK,Roy Boulting,C.S. Forester t,"Jeffrey Hunter,Michael Rennie,Wendy Hiller,Bernard Lee",6.90,https://m.media-amazon.com/images/M/MV5BN2EyYjQ3ZjQtMDFiMy00MDA2LWI2MTUtZmI4ZDJiODU1YzczXkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_SX300.jpg
11,The Spiritual Boxer,"A con artist uses Kung Fu to swindle villagers for money by pretending to be possessed by angry gods. However, when the villagers are later threatened by bandits he must use the same skills for good.","Comedy,Drama,Action",Not Rated,1975,103,Mandarin,Hong Kong,Chia-Liang Liu,Kuang Ni,"Yue Wong,Chen-Chi Lin,Lung Ti,Kuan Tai Chen",6.70,https://m.media-amazon.com/images/M/MV5BMGEyZWRmMWYtMTU4Ni00NDc5LWE4MzMtNDNmODdkZDQ3MjgwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
12,Taxi Blues,A comedic love/hate relationship develops between a dour taxi driver and a hapless aspiring musician after the latter stiffs his cab fare.,"Comedy,Drama",NULL,1990,110,Russian,"Soviet Union, France",Pavel Lungin,Pavel Lungin,"Pyotr Mamonov,Pyotr Zaychenko,Vladimir Kashpur,Natalya Kolyakanova",7.40,https://m.media-amazon.com/images/M/MV5BMTIyNzcwMTIzMl5BMl5BanBnXkFtZTcwNTM2NDYxMQ@@._V1_SX300.jpg
13,Here Comes Cookie,"Alarmed that his younger daughter is about to marry a gold-digger, a millionaire turns over the fortune to her ditsy older sister for safe-keeping to his ultimate regret, protection.","Comedy,Music",Approved,1935,65,English,USA,Norman Z. McLeod,Don Hartman t,"George Burns,Gracie Allen,George Barbier,Betty Furness",6.40,https://m.media-amazon.com/images/M/MV5BMTJjODI1YjktZDViNi00YzExLTk5NGQtNTQxZjQwZWZhZGI4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
14,Joe's Apartment,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.","Comedy,Fantasy,Musical,Sci-Fi",PG-13,1996,80,"English, Spanish",USA,John Payson,John Payson t,"Jerry O'Connell,Megan Ward,Billy West,Reginald Hudlin",5.50,https://m.media-amazon.com/images/M/MV5BNzczODMyNGUtNjRmOS00ZTA3LWIxOTgtOGE2YmYwZDA2YWU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
15,First Comes Love,"First comes love, then comes marriage, then comes baby in the baby carriage. For filmmaker Nina Davenport, that old playground song didn't go as planned. Single at age 41, she decides to ...",Documentary,NULL,2013,105,English,USA,Nina Davenport,NULL,"Nina Davenport,Eric E. Oleson",6.60,https://m.media-amazon.com/images/M/MV5BMTg5MjU0NTQ4Ml5BMl5BanBnXkFtZTgwOTM3MjU3MDE@._V1_SX300.jpg
16,Walled In,"Supervising the razing of a mysterious building, a demolition company rep discovers past inhabitants entombed within its walls by a vicious murderer. Now she must turn the tables on the killer before she becomes his latest victim.","Horror,Thriller",R,2009,91,English,"USA, France, Canada",Gilles Paquet-Brenner,"Serge Brussolo t,Rodolphe Tissot,Olivier Volpi,Sylvain White,Gilles Paquet-Brenner","Tim Allen,Mischa Barton,Darla Biccum,Cameron Bright",4.80,https://m.media-amazon.com/images/M/MV5BNjEyMDQ3NjEzN15BMl5BanBnXkFtZTgwMzA5NTcwMzE@._V1_SX300.jpg
17,Zardoz,"In the distant future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements.","Adventure,Fantasy,Sci-Fi",R,1974,105,"English, Italian, Swedish, Latin, German, French, Irish","UK, USA, Ireland",John Boorman,John Boorman,"Sean Connery,Charlotte Rampling,Sara Kestelman,John Alderton",5.90,https://m.media-amazon.com/images/M/MV5BMDg5NTYzNzMtNzhmOS00NzEyLWJlMWMtMzUzNjdhYjY2NDI3XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg
18,Lianna,"A happily married woman comes to realize herself of being a repressed lesbian after she has an affair with a female college professor, and then tries to come to terms with her newfound lifestyle.","Drama,Romance",R,1983,110,English,USA,John Sayles,John Sayles,"Linda Griffiths,Jane Hallaren,Jon DeVries,Jo Henderson",6.70,https://m.media-amazon.com/images/M/MV5BYjE4MTNiNTQtMGUyNS00YjU4LTgzZjYtYWQ5MTA3MzE4MDMwXkEyXkFqcGdeQXVyMzYyODU2NTU@._V1_SX300.jpg
19,"Silent Night, Deadly Night Part 2","The now-adult Ricky talks to a psychiatrist about how he became a murderer after his brother, Billy, died, which leads back to Mother Superior.","Horror,Thriller",R,1987,88,English,USA,Lee Harry,Michael Hickey t,"Eric Freeman,James Newman,Elizabeth Kaitan,Jean Miller",3.80,https://m.media-amazon.com/images/M/MV5BOGMyMDUwMTEtMDEyNi00MDkzLWIxMzQtZDhhNWJkZjgyOTEzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
20,Animal Kingdom: Let's go Ape,The outcast son of a primate King learns about being a monkey.,"Animation,Adventure,Comedy,Family",NULL,2015,101,"French, English","France, Italy, China, Belgium",Jamel Debbouze,Roy Lewis t,"Jamel Debbouze,MÃ©lissa Theuriau,AriÃ© Elmaleh,Patrice Thibaud",5.00,https://m.media-amazon.com/images/M/MV5BYzgwNWFhNjAtY2U1Mi00ZDM1LWE1YzktYzI1YjcwZDJkOWY4XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg
21,Boy Meets Girl Stories #1: Smachten,The BOY MEET GIRLS STORIES are 34 poetic little films about love.,"Short,Romance",NULL,2005,2,Dutch,Netherlands,Mark de Cloe,Mark de Cloe,"Tara Elders,Dragan Bakema,DaniÃ«l Boissevain,Harry van Boxtel",7.70,https://m.media-amazon.com/images/M/MV5BMjE1NzE0NTc2OF5BMl5BanBnXkFtZTcwNTIxMjA0MQ@@._V1_SX300.jpg
22,Rush Hour 2,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.","Action,Comedy,Crime,Thriller",PG-13,2001,90,"English, Mandarin, Cantonese","Hong Kong, USA",Brett Ratner,"Ross LaManna t,Jeff Nathanson","Jackie Chan,Chris Tucker,John Lone,Ziyi Zhang",6.60,https://m.media-amazon.com/images/M/MV5BODhlNGJjMWQtZGMyYS00MzJhLWJhZGMtY2NlNDI5Nzg5NTU2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
