mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice
449,Fallen: The Journey,Part 2 in series of 3 television movies (6 hours) about eighteen-year old orphan and foster child Aaron Corbet and his newfound - and sometimes supernatural - talents. Two mysterious ...,Action,TV-PG,2007,82,English,USA,Mikael Salomon,,,7
704,AWS: Best of City of Industry 2003,,Action,,2003,,English,USA,,,"Aaron Aguilera,Gilbert Aguilera,Charles Ashenoff,Hook Bomberry",6.6
446,Plunkett & Macleane,"Two robbers are persecuted by the law, whose servants are not much better and even worse.","Action,Adventure,Comedy,Crime,Drama",R,1999,99,English,UK,Jake Scott,Selwyn Roberts t,"Jonny Lee Miller,Iain Robertson,Robert Carlyle,Ken Stott",6.4
536,Agent Cody Banks 2: Destination London,"With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.","Action,Adventure,Comedy,Family,Romance,Sci-Fi",PG,2004,100,English,"USA, UK",Kevin Allen,Jeffrey Jurgensen t,"Frankie Muniz,Anthony Anderson,Hannah Spearritt,Cynthia Stevenson",4.6
630,Big Trouble in Little China,A rough-and-tumble trucker helps rescue his friend's fiancée from an ancient sorcerer in a supernatural battle beneath Chinatown.,"Action,Adventure,Comedy,Fantasy",PG-13,1986,99,"English, Cantonese",USA,John Carpenter,"Gary Goldman,David Z. Weinstein,W.D. Richter t","Kurt Russell,Kim Cattrall,Dennis Dun,James Hong",7.3
415,Detention of the Dead,A group of oddball high school students find themselves trapped in detention with their classmates having turned into a horde of Zombies.,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",Not Rated,2012,87,English,USA,Alex Craig Mann,"Alex Craig Mann,Rob Rinow t","Jacob Zachar,Alexa Nikolas,Christa B. Allen,Jayson Blair",4.5
418,Sharknado 2: The Second One,"Fin and April are on their way to New York City, until a category seven hurricane spawns heavy rain, storm surges, and deadly Sharknadoes.","Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",TV-14,2014,95,English,USA,Anthony C. Ferrante,Thunder Levin,"Ian Ziering,Tara Reid,Vivica A. Fox,Mark McGrath",4
180,Fool's Gold,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,"Action,Adventure,Comedy,Romance,Thriller",PG-13,2008,112,English,USA,Andy Tennant,John Claflin t,"Matthew McConaughey,Kate Hudson,Donald Sutherland,Alexis Dziena",5.7
270,"Mayday at 40,000 Feet!",The co-pilot and engineer of a passenger jet struggle to keep the plane airborne until it can reach an open airfield after a killer aboard the plane fires a gun at an engine and pilot of the plane.,"Action,Adventure,Crime,Drama,Thriller",TV-PG,1976,100,English,USA,Robert Butler,Austin Ferguson t,"David Janssen,Don Meredith,Christopher George,Ray Milland",5.5
116,The Loser Takes All,"A cynical man, along with a 19 year old musician, a former lover, an alcoholic client of a bar and a black strip club dancer are involved with anarchist mood in a dangerous game with drugs godfathers of the night, cops and media.","Action,Adventure,Drama",,2002,121,"Greek, English",Greece,Nikos Nikolaidis,Nikos Nikolaidis,"Giannis Angelakas,Jenny Kitseli,Ifigenia Asteriadi,Simeon Nikolaidis",6.8
382,Beowulf & Grendel,"In Denmark, during the 6th century, Danish king Hrothgar and his warriors kill a troll whose son, Grendel, vows revenge.","Action,Adventure,Drama,Fantasy",R,2005,103,"English, Latin, Icelandic","Canada, UK, Iceland, USA, Australia",Sturla Gunnarsson,"Anonymous t,Andrew Rai Berzins","Hringur Ingvarsson,Spencer Wilding,Stellan Skarsgård,Ingvar Sigurdsson",5.8
427,Captain Alatriste: The Spanish Musketeer,"Viggo Mortensen plays the Spanish soldier-turned-mercenary Captain Alatriste, a heroic figure from the country's 17th century imperial wars.","Action,Adventure,Drama,History,Romance,Thriller,War",,2006,145,"Spanish, Flemish, Latin, Portuguese, Dutch",Spain,Agustín Díaz Yanes,Arturo Pérez-Reverte t,"Viggo Mortensen,Elena Anaya,Unax Ugalde,Eduard Fernández",6.1
120,Prince Valiant,A young Viking prince strives to become a knight in King Arthur's Court and restore his exiled father to his rightful throne.,"Action,Adventure,Drama,Romance",Approved,1954,100,English,USA,Henry Hathaway,Dudley Nichols t,"James Mason,Janet Leigh,Robert Wagner,Debra Paget",6.2
272,Solarbabies,"In a post-apocalyptic future ruled by the military, a group of renegade teenage orphans find a legendary orb, Bohdai, that can supposedly bring the rain back to dried up Earth.","Action,Adventure,Drama,Sci-Fi",PG-13,1986,94,English,USA,Alan Johnson,Walon Green t,"Richard Jordan,Jami Gertz,Jason Patric,Lukas Haas",4.8
295,I Am Legend,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.","Action,Adventure,Drama,Sci-Fi,Thriller",PG-13,2007,101,English,USA,Francis Lawrence,"Mark Protosevich t,John William Corrington,Joyce Hooper Corrington","Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield",7.2
188,The Delta Force,"After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.","Action,Adventure,Drama,Thriller,War",R,1986,125,"English, Arabic, Hebrew, Greek","USA, Israel",Menahem Golan,"James Bruner,Menahem Golan","Chuck Norris,Lee Marvin,Martin Balsam,Joey Bishop",5.6
284,Dragonheart 3: The Sorcerer's Curse,"A young knight and a dragon named Drago, whose lives they now share with one heart, join forces to protect a nest filled with dragon eggs from an evil sorcerer, as well undo a curse placed on Drago.","Action,Adventure,Fantasy",PG-13,2015,98,English,USA,Colin Teague,"Matthew Feitshans,Patrick Read Johnson t","Julian Morris,Tamzin Merchant,Jassa Ahluwalia,Dominic Mafham",5.1
653,Thor: The Dark World,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.","Action,Adventure,Fantasy",PG-13,2013,112,English,USA,Alan Taylor,Christopher L. Yost t,"Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins",6.9
298,BloodRayne: The Third Reich,Rayne joins a resistence group to fight against the Nazis during world war two.,"Action,Adventure,Fantasy,Horror",R,2011,79,English,"USA, Canada, Germany",Uwe Boll,Michael Nachoff,"Natassia Malthe,Brendan Fletcher,Michael Paré,Willam Belli",3
81,Renegades of the West,"Tom Bagby has gone to prison to learn of his father's killer. Returning, he looks for Curly Bogard who he thinks did it. Keeping his identity a secret, he gets a job on Curly's ranch. Just ...","Action,Adventure,Music,Western",Passed,1932,55,English,USA,Casey Robinson,Albert S. Le Vino t,"Tom Keene,Roscoe Ates,Betty Furness,Jim Mason",5.6
600,The Cyclone Ranger,"A trio of former cattle rustlers try to go straight, but find that they can't shake off their reputations and trouble follows them.","Action,Adventure,Romance,Western",Approved,1935,60,English,USA,Robert F. Hill,Oliver Drake t,"Bill Cody,Nina Quartero,Eddie Gribbon,Soledad Jiménez",5.4
49,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,"A disgraced Ranger takes command of an old, possibly haunted, ship on an escort mission that encounters deadly peril from a new enemy civilization.","Action,Adventure,Sci-Fi",Not Rated,2002,90,English,USA,Michael Vejar,J. Michael Straczynski,"Dylan Neal,Andreas Katsulas,Alex Zahara,Myriam Sirois",6.1
153,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Action,Adventure,Sci-Fi",PG-13,2008,126,"English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","USA, Canada",Jon Favreau,Mark Fergus t,"Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow",7.9
125,Transmorphers: Fall of Man,"In this present day prequel, the robot invaders attack the Earth, forcing a small band of humans to seek refuge below the surface of the planet.","Action,Adventure,Sci-Fi,Thriller",R,2009,86,English,USA,Scott Wheeler,Shane Van Dyke t,"Bruce Boxleitner,Jennifer Rubin,Shane Van Dyke,Alana DiMaria",2
684,Snowmageddon,"An Alaskan town is in danger of destruction by a mystical snow globe that appears on a family's doorstep, wrapped like a Christmas gift, and causes deadly natural disasters in the real world, while simultaneously occurring in the globe.","Action,Adventure,Sci-Fi,Thriller",PG-13,2011,89,English,Canada,Sheldon Wilson,Rudy Thauberger,"David Cubitt,Laura Harris,Dylan Matzke,Magda Apanowicz",3.8
697,Forbidden Planet,A starship crew goes to investigate the silence of a planet's colony only to find two survivors and a deadly secret that one of them has.,"Action,Adventure,Sci-Fi,Thriller",G,1956,98,English,"USA, Japan",Fred M. Wilcox,Cyril Hume t,"Walter Pidgeon,Anne Francis,Leslie Nielsen,Warren Stevens",7.6
175,Speed,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,"Action,Adventure,Thriller",R,1994,116,English,USA,Jan de Bont,Graham Yost,"Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton",7.2
388,Raiders of the Lost Ark: The Adaptation,"A shot-for-shot remake of Indiana Jones and the Raiders of the Lost Ark (1981), started by three 12-year-olds and completed over a period of six years.","Action,Adventure,Thriller",,1989,100,English,USA,Eric Zala,Lawrence Kasdan t,"Chris Strompolos,Angela Rodriguez,Michael Bales,Eric Zala",8.2
500,Into the Blue 2: The Reef,A pair of professional divers are hired to find Columbus' hidden treasure.,"Action,Adventure,Thriller",Unrated,2009,92,English,USA,Stephen Herek,Mitchell Kapner,"Chris Carmack,Laura Vandervoort,Marsha Thomason,Michael Graziadei",4.7
18,Stander,"The life and career of Andre Stander, a South African police officer turned bank robber.","Action,Biography,Crime,Drama",R,2003,111,"English, Afrikaans, Zulu","Canada, Germany, South Africa, UK",Bronwen Hughes,Bima Stagg,"Thomas Jane,Dexter Fletcher,David O'Hara,Deborah Kara Unger",7.1
203,Dodgeball: A True Underdog Story - Deleted Scenes,Deleted scenes from 'Dodgeball: A True Underdog Story'.,"Action,Comedy",PG-13,2004,88,English,USA,Rawson Marshall Thurber,Rawson Marshall Thurber,"Jamal Duff,Julie Gonzalo,Justin Long,Joel David Moore",7.5
635,Cannonball Run II,The original characters from The Cannonball Run (1981) race across the country once more in various cars and trucks.,"Action,Comedy",PG,1984,108,English,"USA, Hong Kong","Hal Needham,Ralph Bakshi","Brock Yates t,Hal Needham,Albert S. Ruddy,Harvey Miller","Burt Reynolds,Dom DeLuise,Dean Martin,Sammy Davis Jr.",5.1
140,Hard Luck Hero,The story of three pairs of characters involved one way or the other with the yakuza and a rigged boxing match and fleeing the thugs one way or the other. Filmed as a showcase of the ...,"Action,Comedy,Crime",,2003,79,Japanese,Japan,SABU,SABU,"Hiroshi Nagano,Yoshihiko Inohara,Gô Morita,Ken Miyake",6.1
